BITACORA META - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Meta (AI/Social). Llama models, AI infra, $27B Nebius deal. Ad rev growth.
[2026-06-02] INTRA 05:08 - $600.47 | -5.07% | Prob: 60%
[2026-06-12] INTRA 19:25 - $566.99 | -0.25% | Prob: 51% | PE 20.6, RSI 36, tendencia bajista, pero sentimiento mixto y oportunidades en metaverso; valoración atractiva.
[2026-06-12] INTRA 21:17 - $566.98 | -0.26% | Prob: 52% | Downtrend técnico y presión de costos; sin embargo, IA y metaverso ofrecen upside a medio plazo.
[2026-06-12] INTRA 22:33 - $566.98 | -0.26% | Prob: 52% | Sentimiento IA negativo, RSI 36, downtrend; errores en estrategia IA y presión publicitaria limitan upside.
[2026-06-12] INTRA 23:25 - $566.98 | -0.26% | Prob: 53% | Sentimiento IA negativo, técnico downtrend (RSI 36). Errores en estrategia AI reducen confianza; valoración moderada.
[2026-06-15] INTRA 18:24 - $595.09 | 4.96% | Prob: 52% | PE bajo (21) y fuerte cash; tendencia bajista técnico pero fundamentos defensivos y buen sentimiento de inversión a largo plazo.
[2026-06-15] INTRA 19:23 - $594.35 | 4.83% | Prob: 49% | IA como motor de crecimiento, RSI 45 y tendencia bajista técnico, pero fundamentos fuertes y sentimiento IA positivo.
[2026-06-15] INTRA 20:51 - $593.48 | 4.67% | Prob: 47% | Sentimiento positivo, inversión en IA y vínculo con NVDA; técnico downtrend pero fundamentals mejorando.
[2026-06-15] INTRA 22:02 - $593.48 | 4.67% | Prob: 46% | Sentimiento IA positivo (0.85) y nuevas oportunidades en metaverso; RSI 44.7, MACD bajista pero fundamentals robustos.
[2026-06-15] INTRA 23:10 - $593.48 | 4.67% | Prob: 44% | Sentimiento neutral (+0.2) y tendencia bajista; RSI 44.7 y MACD bajista sugieren consolidación.
[2026-06-15] INTRA 23:56 - $593.48 | 4.67% | Prob: 41% | Tendencia bajista, RSI 44.7, presión de competencia en IA; sin embargo, adquisición de Tenstorrent podría revertir.
[2026-06-16] INTRA 18:26 - $596.1 | 0.44% | Prob: 37% | Meta lanza AI search y herramientas creativas; earnings +1.36% y sentimiento positivo. RSI 37.8 y MACD bajista, pero fundamentals mejoran.
[2026-06-16] INTRA 19:13 - $600.09 | 1.11% | Prob: 39% | Reinvierte en AI, PE 21.79, buen margen; técnico downtrend pero RSI 39.1 sugiere oportunidad. Sentimiento IA positivo.
[2026-06-16] INTRA 20:28 - $600.21 | 1.13% | Prob: 42% | RSI 39.4, MACD bajista, MA50 -3.5%; soporte débil, tendencia bajista.
[2026-06-16] INTRA 21:59 - $600.21 | 1.13% | Prob: 41% | RSI 39.4, MACD bajista, MA50 -3.5%; tendencia a la baja, soporte 560, resistencia 640.
[2026-06-16] INTRA 23:02 - $600.21 | 1.13% | Prob: 42% | RSI 39.4, MACD bajista, MA50 -3.5% muestra tendencia a la baja; soporte 540, resistencia 620.
[2026-06-16] INTRA 23:34 - $600.21 | 1.13% | Prob: 41% | Sentimiento IA positivo (+0.7) y recuperación de ingresos publicitarios; técnico en downtrend (RSI 39.4).
[2026-06-17] INTRA 17:01 - $579.28 | -3.49% | Prob: 43% | PE 21, margen bajo, sentimiento mixto por reestructuración, RSI 35, tendencia bajista.
[2026-06-17] INTRA 18:09 - $579.8 | -3.4% | Prob: 44% | Sentimiento negativo (-0.45) y técnico downtrend (RSI 35.1). Riesgo de caída por fracasos en AR.
[2026-06-17] INTRA 19:42 - $571.43 | -4.79% | Prob: 44% | Desafíos de crecimiento y presión de usuarios; RSI 33 y tendencia bajista técnico limitan alza.
[2026-06-17] INTRA 21:25 - $567.58 | -5.44% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-17] INTRA 22:42 - $567.58 | -5.44% | Prob: 46% | Sentimiento neutral, RSI 32.7 y MACD bajista; inversión en metaverso aún no genera retorno claro.
[2026-06-17] INTRA 23:43 - $567.58 | -5.44% | Prob: 47% | Fuerte sentimiento negativo por brecha de seguridad en IA; RSI 32.7 y MACD bajista confirman tendencia bajista.
[2026-06-18] INTRA 16:48 - $576.2 | 1.52% | Prob: 47% | Downtrend, RSI 36, presión de costos y cambios en política de ads; sin embargo, IA y metaverso ofrecen potencial a largo plazo.
[2026-06-18] INTRA 18:28 - $575.3 | 1.36% | Prob: 46% | RSI 35.5, tendencia bajista, pero PE bajo (20.9) y buen cash flow; sentimiento neutral.
[2026-06-18] INTRA 19:50 - $573.89 | 1.11% | Prob: 44% | Downtrend, RSI 35.3, presión de competencia en AI, pero crecimiento de ingresos y sentimiento mixto.
[2026-06-18] INTRA 21:41 - $577.22 | 1.7% | Prob: 44% | Inversión en data centers India, RSI 36, tendencia bajista, pero fundamentals de ingresos sólidos.
[2026-06-18] INTRA 23:06 - $577.22 | 1.7% | Prob: 43% | Downtrend, RSI 36, MACD bajista; sin embargo AI deals mejoran outlook, sentimiento positivo IA.
[2026-06-18] INTRA 23:56 - $577.22 | 1.7% | Prob: 42% | PE 21, AI computing deals recientes; técnico downtrend, RSI 36, pero sentimiento positivo y margen de mejora.
[2026-06-19] INTRA 16:23 - $577.22 | 1.7% | Prob: 42% | Sentimiento negativo y presión de costos de IA; downtrend técnico y EPS sólido pero margen comprimido.
[2026-06-19] INTRA 17:40 - $577.22 | 1.7% | Prob: 40% | RSI 36.4, MACD bajista y MA50 -7% indican tendencia bajista; soporte en 540, resistencia en 600.
[2026-06-19] INTRA 19:14 - $577.22 | 1.7% | Prob: 40% | Reinventando con metaverso, PE 21, RSI 36, tendencia bajista; sentimiento neutral.
[2026-06-19] INTRA 22:13 - $577.22 | 1.7% | Prob: 39% | PE 20.9, fuerte gasto IA con retorno esperado, RSI 36, tendencia bajista pero fundamental robusto, sentimiento positivo.
[2026-06-19] INTRA 23:05 - $577.22 | 1.7% | Prob: 39% | Downtrend, RSI 36.4, sentimiento mixto; inversión en IA y chips propios, pero presión de costos.
[2026-06-22] INTRA 17:48 - $562.95 | -2.47% | Prob: 38% | Salida de talento AI y caída de acciones; RSI 40, MACD bajista, sin embargo, base de usuarios sigue fuerte.
[2026-06-22] INTRA 19:03 - $565.61 | -2.01% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-22] INTRA 21:54 - $563.85 | -2.32% | Prob: 41% | P/E 20.5, dividend 0.37%, RSI 40.1, MACD bajista, pero sentiment IA positivo y liderazgo en metaverso impulsa confianza.
[2026-06-22] INTRA 22:43 - $563.85 | -2.32% | Prob: 41% | Sentimiento negativo, RSI 40.1, presión publicitaria; sin embargo, base de usuarios sólida.
[2026-06-22] INTRA 23:33 - $563.85 | -2.32% | Prob: 42% | Presión interna y resultados mixtos, RSI 40, tendencia bajista; sin embargo, IA y metaverso ofrecen upside a largo plazo.
[2026-06-23] INTRA 16:09 - $562.75 | -0.2% | Prob: 44% | Meta lanza smart glasses, pero RSI 40.8 y tendencia bajista; alta exposición a publicidad y riesgos macro.
[2026-06-23] INTRA 17:37 - $564.71 | 0.15% | Prob: 43% | Sentimiento IA positivo, RSI 41.2, inversión en fintech y AR/VR brinda upside; valoración PE 20.5 atractiva.
[2026-06-23] INTRA 19:24 - $563.95 | 0.02% | Prob: 43% | Inversión en metaverso y app de predicción, pero tendencia bajista y RSI 40; sentimiento IA positivo pero limitado.
[2026-06-23] INTRA 21:16 - $562.2 | -0.29% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-23] INTRA 22:22 - $562.2 | -0.29% | Prob: 44% | Sentimiento neutral, tendencia bajista y alta exposición a publicidad; sin embargo, iniciativas de IA y metaverso pueden estabilizar.
[2026-06-23] INTRA 23:20 - $562.2 | -0.29% | Prob: 44% | Sentimiento negativo por litigios, técnico downtrend (RSI 40.4). PE 20.4, pero presión regulatoria.
[2026-06-24] INTRA 15:55 - $565.95 | 0.67% | Prob: 44% | Sentimiento negativo, técnico downtrend (RSI 31.5). PE 20.5, pero crecimiento de usuarios y metaverso incierto limita upside.
[2026-06-24] INTRA 17:24 - $558.94 | -0.58% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 19:07 - $559.35 | -0.51% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 21:06 - $557.67 | -0.81% | Prob: 46% | RSI 29.9, MACD bajista, MA50 -9.6%; tendencia bajista fuerte.
[2026-06-24] INTRA 22:18 - $557.67 | -0.81% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 23:17 - $557.67 | -0.81% | Prob: 47% | Sentimiento positivo (+0.8) y fuerte exposición a IA publicitaria; RSI 30 y tendencia bajista, pero fundamentals sólidos.
[2026-06-25] INTRA 16:01 - $552.95 | -0.85% | Prob: 47% | Downtrend y RSI bajo (26.8); potencial alcista basado en negocio de IA.
[2026-06-25] INTRA 17:29 - $545.55 | -2.17% | Prob: 48% | Downtrend y RSI 25.8, pero PE 19.8 y buen cash flow mantienen atractivo a largo plazo.
[2026-06-25] INTRA 21:17 - $542.87 | -2.65% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-25] INTRA 22:35 - $542.87 | -2.65% | Prob: 49% | PE 19.7, beta 1.23, RSI 25.4, downtrend; sentimiento IA positivo (0.65) y fuerte inversión en metaverso.
[2026-06-25] INTRA 23:25 - $542.87 | -2.65% | Prob: 60% | RSI 25.4, MACD bajista, MA50 -11.7%; soporte $470, resistencia $560.
[2026-06-26] INTRA 15:51 - $553.33 | 1.93% | Prob: 49% | Downtrend y MACD bajista; sentimiento neutral en noticias recientes.
[2026-06-26] INTRA 19:07 - $550.11 | 1.33% | Prob: 60% | Sentimiento positivo y PE 20; aunque en downtrend, la inversión en AI y fuerte cash flow respaldan recuperación.
[2026-06-26] INTRA 21:00 - $550.25 | 1.36% | Prob: 60% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-26] INTRA 22:10 - $550.25 | 1.36% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-26] INTRA 23:13 - $550.25 | 1.36% | Prob: 49% | Inversión en metaverso y nuevas alianzas; PE 20, EPS 27.5; técnico downtrend, RSI 35.3, pero sentimiento positivo.
[2026-06-29] INTRA 16:53 - $564.09 | 2.52% | Prob: 49% | Downtrend técnica; RSI en 43.0; soporte en niveles psicológicos.
[2026-06-29] INTRA 17:51 - $565.41 | 2.76% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-29] INTRA 19:15 - $565.79 | 2.82% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-29] INTRA 21:04 - $562.6 | 2.24% | Prob: 47% | RSI 42.5, MACD bajista, MA50 -7.8%; soporte en $520, resistencia en $590.
[2026-06-29] INTRA 22:15 - $562.6 | 2.24% | Prob: 47% | Desaceleración en ingresos publicitarios y tendencia bajista; RSI 42 y PE 20, riesgo de mayor presión.
[2026-06-29] INTRA 23:00 - $562.6 | 2.24% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 15:50 - $556.18 | -1.14% | Prob: 46% | RSI 45, MACD bajista, MA50 -5%; soporte en $520, tendencia neutral.
[2026-06-30] INTRA 17:27 - $559.33 | -0.58% | Prob: 47% | PE 20.3, beta 1.23, RSI 41.5, downtrend. Sentimiento IA positivo, pero presión de costos y competencia en metaverso.
[2026-06-30] INTRA 19:10 - $560.59 | -0.36% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 21:11 - $563.29 | 0.12% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 22:18 - $563.29 | 0.12% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 23:16 - $563.29 | 0.12% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 15:52 - $620.95 | 10.24% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 17:28 - $618.91 | 9.87% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 19:10 - $618.66 | 9.83% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 21:02 - $612.91 | 8.81% | Prob: 42% | Meta impulsa AI cloud, resultados de empleo positivos; RSI 62, tendencia ligera alcista.
[2026-07-01] INTRA 22:23 - $612.91 | 8.81% | Prob: 42% | PE 22, fuerte margen; IA en cloud aumenta TAM; RSI 62 y tendencia ligera alcista.
[2026-07-01] INTRA 23:18 - $612.91 | 8.81% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 15:27 - $587.5 | -4.15% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 17:05 - $586.2 | -4.36% | Prob: 43% | RSI 54.1, MACD bajista, MA50 -3.3%, soporte $540, resistencia $620.
[2026-07-02] INTRA 18:37 - $585.68 | -4.44% | Prob: 43% | RSI 54.4, MACD bajista, MA50 -3.1%; tendencia bajista, soporte en $560, resistencia en $620.
[2026-07-02] INTRA 20:32 - $582.9 | -4.9% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 22:07 - $582.9 | -4.9% | Prob: 44% | PE 21, RSI 53, tendencia bajista; presión regulatoria y competencia en AI reducen outlook.
[2026-07-02] INTRA 23:07 - $582.9 | -4.9% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 15:25 - $582.9 | -4.9% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 16:48 - $582.9 | -4.9% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 18:22 - $582.9 | -4.9% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 20:27 - $582.9 | -4.9% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 22:03 - $582.9 | -4.9% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 23:06 - $582.9 | -4.9% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 16:35 - $594.69 | 2.02% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 17:57 - $593.83 | 1.88% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 19:05 - $600.51 | 3.02% | Prob: 44% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 21:03 - $600.29 | 2.98% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 22:13 - $600.29 | 2.98% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 23:11 - $600.29 | 2.98% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 15:56 - $605.53 | 0.87% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 17:31 - $605.92 | 0.94% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 19:12 - $621.14 | 3.47% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 21:00 - $615.58 | 2.55% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 22:11 - $615.58 | 2.55% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 23:04 - $615.58 | 2.55% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 15:44 - $602.12 | -2.19% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 16:52 - $604.16 | -1.86% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 18:29 - $605 | -1.72% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 20:33 - $603.12 | -2.02% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 22:04 - $603.12 | -2.02% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 23:15 - $603.12 | -2.02% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 16:10 - $605.3 | 0.36% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 17:34 - $612.33 | 1.53% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 19:01 - $615.16 | 2% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 21:03 - $631.48 | 4.7% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 22:24 - $631.48 | 4.7% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 23:18 - $631.48 | 4.7% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 15:49 - $674.72 | 6.85% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 17:10 - $667.52 | 5.71% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 18:34 - $668.79 | 5.91% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 20:48 - $669.21 | 5.97% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 21:59 - $669.21 | 5.97% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 23:05 - $669.21 | 5.97% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-13] INTRA 15:57 - $662.86 | -0.95% | Prob: 41% | Strong ad revenue and AI progress; technicals bullish.
[2026-07-13] INTRA 17:34 - $660.7 | -1.27% | Prob: 40% | Inversión masiva en IA (>$50B) y fuerte sentimiento; RSI 70 y tendencia ligera alcista.
[2026-07-13] INTRA 18:57 - $661.68 | -1.13% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-13] INTRA 20:47 - $656.73 | -1.86% | Prob: 42% | Recuperación tras caída de acciones, RSI 69, tendencia ligera alcista; presión de regulaciones.
[2026-07-13] INTRA 21:52 - $656.73 | -1.86% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-13] INTRA 23:01 - $656.73 | -1.86% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 15:02 - $661.15 | 0.67% | Prob: 44% | Slightly bullish; AI rally sustainability questioned but growth remains strong.
