================================================================================
 BITÁCORA DE APRENDIZAJE – ACTIVO: SNOW (SNOWFLAKE INC.)
 Inicialización: 2026-06-01
================================================================================

[2026-06-01] ENTRADA INICIAL – DÍA 1
- Contexto: Snowflake subió +48% en la última semana. Resultados Q1 sólidos. Anunció colaboración multi-anual con AWS para acelerar adopción de IA agente.
- Catalizadores: AI flywheel impulsando crecimiento. Acuerdo con AWS es validación masiva. Morningstar: cotiza a 6% descuento sobre valor justo de $255.
- Riesgos: Competencia (Databricks). Gastos operativos elevados. Dependencia de migración cloud enterprise.
- Confianza inicial: 57% (buena relación riesgo-recompensa con descuento vs valor justo).
- Punto ciego: Monitorear tasa de consumo de créditos (consumption-based model).

================================================================================

[2026-06-01] CICLO 22:40 - Precio: $255.92 | Variacion: 0.22% | Prob: 62% | Conf: 57%
[2026-06-03] INTRA 23:07 - $241.28 | -7.61% | Prob: 48% | RSI 74.3, ligera-alcista, sentimiento IA positivo; sin embargo, MACD alcista y volatilidad moderada.
[2026-06-04] INTRA 04:37 - $241.28 | -7.61% | Prob: 33% | RSI 74.3, alta volatilidad, pero tendencia ligera alcista; noticias negativas y baja precisión 33%.
[2026-06-04] INTRA 16:28 - $246.79 | 2.28% | Prob: 41% | RSI 76, MACD bullish, pero precisión solo 36% y sentimiento neutral; se mantiene estable.
[2026-06-04] INTRA 18:00 - $247.18 | 2.45% | Prob: 36% | RSI 75.8, tendencia ligera-alcista, pero sentimiento IA neutral y precisión 39%; mercado de datos en pausa.
[2026-06-04] INTRA 19:33 - $247.33 | 2.51% | Prob: 44% | RSI 75.7, ligera alza, IA neutral; precisión baja sugiere cautela.
[2026-06-04] INTRA 21:12 - $244.18 | 1.2% | Prob: 45% | RSI 75.4, MACD alcista, oportunidad AI monetizada; sentimiento IA neutral.
[2026-06-04] INTRA 22:27 - $244.18 | 1.2% | Prob: 52% | Leve alza, RSI 75, sentimiento IA positivo; sin embargo, alta valoración.
[2026-06-04] INTRA 23:15 - $244.18 | 1.2% | Prob: 53% | RSI 75.4, ligera alza, sentimiento IA neutral, precisión 44% sector.
[2026-06-05] INTRA 16:10 - $236.82 | -3.01% | Prob: 52% | Rally de 16% en 12 meses deja RSI 71.6 en sobrecompra; precisión histórica limitada y escasez de catalizadores nuevos sugieren pausa o retroceso.
[2026-06-05] INTRA 17:40 - $237.36 | -2.79% | Prob: 57% | RSI 72, MACD alcista, sentimiento IA positivo y sorpresa de ganancias +1.49%.
[2026-06-05] INTRA 19:09 - $236.91 | -2.97% | Prob: 51% | RSI 71.6, MACD alcista, sentimiento IA positivo y precisión 43%; impulso de IA sostiene precios.
[2026-06-05] INTRA 21:06 - $238.26 | -2.42% | Prob: 62% | RSI 72, tendencia alcista, IA positiva en ETFs; soporte técnico fuerte.
[2026-06-05] INTRA 22:19 - $238.26 | -2.42% | Prob: 62% | RSI alto, MA50 positivo, impulso de IA, pero volatilidad alta.
[2026-06-06] INTRA 05:21 - $238.26 | -2.42% | Prob: 39% | Sentimiento IA positivo, RSI muy alto, tendencia alcista; crecimiento de ingresos en la nube AI respalda expectativas.
[2026-06-08] INTRA 17:09 - $241.1 | 1.19% | Prob: 39% | Posicionamiento como plataforma de datos para IA; RSI 71.4 y MACD alcista respaldan moderado upside.
[2026-06-08] INTRA 18:13 - $241.3 | 1.28% | Prob: 39% | Sentiment neutral, RSI 71, pero alta valoración; depende de crecimiento de datos.
[2026-06-08] INTRA 19:37 - $239.33 | 0.45% | Prob: 38% | Sentimiento neutral, crecimiento de ingresos sólido, pero alta valoración y RSI sobrebought limitan upside corto.
[2026-06-08] INTRA 21:23 - $240.45 | 0.92% | Prob: 37% | Crecimiento de ingresos sólido, pero valoración alta y tendencia ligera alcista con RSI elevado indican posible corrección.
[2026-06-08] INTRA 22:32 - $240.45 | 0.92% | Prob: 37% | Crecimiento de datos en la nube, pero alta valoración y RSI 71 sobrecomprado. Sentimiento positivo moderado.
[2026-06-08] INTRA 23:24 - $240.45 | 0.92% | Prob: 36% | Crecimiento de datos en la nube, RSI 71, tendencia ligera alcista, múltiplos altos, sentimiento IA positivo (0.72).
[2026-06-09] INTRA 17:41 - $235.91 | -1.89% | Prob: 37% | Barclays eleva PT, RSI 69 y tendencia alcista; valoración alta pero crecimiento de datos IA impulsa demanda.
[2026-06-09] INTRA 19:29 - $237.12 | -1.38% | Prob: 39% | Crecimiento de datos, RSI 68, tendencia alcista; valoración moderada, sentiment positivo.
[2026-06-09] INTRA 21:18 - $239.66 | -0.33% | Prob: 41% | Fuerte adopción de data cloud; RSI 70 sugiere sobrecompra pero tendencia alcista persiste. Buenas guías de ingresos.
[2026-06-09] INTRA 22:28 - $239.66 | -0.33% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-09] INTRA 23:26 - $239.66 | -0.33% | Prob: 45% | RSI 70.1 alto, MACD alcista, ligera caída; soporte en 52w low; objetivo 30d 260
[2026-06-11] INTRA 17:06 - $239.49 | -0.17% | Prob: 46% | RSI 71.7 indica sobrecompra, pero fuerte pipeline de datos y IA; earnings sorpresa +0.54% mantiene confianza.
[2026-06-11] INTRA 18:36 - $241.32 | 0.59% | Prob: 45% | Expansión de cartera IA y técnico alcista (RSI 72). Valuación alta, pero crecimiento de ingresos sólido.
[2026-06-11] INTRA 19:53 - $240.17 | 0.11% | Prob: 44% | RSI 71 sobrecompra, pero tendencia ligera alcista y sentimiento IA neutral; valoración premium.
[2026-06-11] INTRA 21:42 - $240.39 | 0.2% | Prob: 42% | RSI 71.9 (sobrecompra), MACD alcista, MA50 +40.3%; resistencia en $260.
[2026-06-11] INTRA 23:02 - $240.39 | 0.2% | Prob: 40% | Crecimiento de ingresos fuerte, pero RSI 72 sobrecompra y tendencia ligera alcista.
[2026-06-11] INTRA 23:34 - $240.39 | 0.2% | Prob: 40% | Consenso tras debate: Sobrecompra RSI 71.9 contrarrestada por MACD alcista y fuerte crecimiento de ingresos. Se anticipa corrección a $230 antes de nuevo impulso.
[2026-06-12] INTRA 17:55 - $237.31 | -1.28% | Prob: 40% | RSI 69 muestra sobrecompra; sentimiento neutral y caída del sector de software IA limitan alza.
[2026-06-12] INTRA 19:25 - $233.75 | -2.76% | Prob: 41% | Sentimiento mixto, RSI 67 sobrecompra, pero fundamentals sólidos y crecimiento de datos; tendencia ligera alcista.
[2026-06-12] INTRA 21:17 - $232.78 | -3.17% | Prob: 42% | Sentimiento IA neutral, técnico alcista (RSI 68); crecimiento de ingresos sigue fuerte pese a volatilidad.
[2026-06-12] INTRA 22:33 - $232.78 | -3.17% | Prob: 43% | Sentimiento IA negativo, pero Reddit positivo; RSI 68, ligera alcista, alta valoración y presión del mercado de software.
[2026-06-12] INTRA 23:25 - $232.78 | -3.17% | Prob: 44% | Sentimiento IA negativo, Reddit positivo. Técnico alcista (RSI 68) pero mercado de software bajo presión; valoración alta.
[2026-06-15] INTRA 18:24 - $241.54 | 3.76% | Prob: 43% | Consenso tras debate: sólido crecimiento de ingresos respalda la posición, pero RSI 68 indica sobrecompra y el técnico ligeramente alcista aumenta la cautela.
[2026-06-15] INTRA 19:23 - $241.2 | 3.62% | Prob: 41% | Consenso tras debate: RSI 68 sobrecompra y MACD alcista indican ligera alza, con resistencia en $260.
[2026-06-15] INTRA 20:51 - $240.78 | 3.44% | Prob: 39% | Consenso: Sentimiento positivo, RSI 68.1 sobrecompra, MACD alcista, ligera tendencia alcista. Soporte $220, resistencia $260.
[2026-06-15] INTRA 22:02 - $240.78 | 3.44% | Prob: 38% | Consenso tras debate: la sobrecompra y múltiplos altos reducen la probabilidad a 41%, pese a la señal MACD alcista.
[2026-06-15] INTRA 23:10 - $240.78 | 3.44% | Prob: 36% | Sentimiento neutral, RSI 68.1 sobrecompra pero MACD alcista; crecimiento de ingresos cloud sigue sólido.
