BITACORA LRCX - Inicializada en GitHub Actions 2026-06-02
[2026-06-02] Expansion - Lam Research (Semicon Equipment). WFE boom, NAND node transitions $40B. Analyst PT $380.
[2026-06-02] INTRA 05:08 - $317.12 | -0.33% | Prob: 58%
[2026-06-09] INTRA 23:26 - $327.16 | 0.84% | Prob: 44% | RSI 68.4 alto, MACD alcista, tendencia alcista; soporte en 52w low; objetivo 30d 350
[2026-06-11] INTRA 17:06 - $348.51 | 8.3% | Prob: 42% | Líder en equipamiento de semis; RSI 65.1 y tendencia alcista, PE 65.7 alto pero respaldado por crecimiento de AI chips.
[2026-06-11] INTRA 18:36 - $356.62 | 10.82% | Prob: 41% | Crecimiento ligado a fabricación de chips; técnico alcista pero valoración PE 67 sugiere cautela.
[2026-06-11] INTRA 19:53 - $364.04 | 13.13% | Prob: 41% | Crecimiento de demanda de equipos de chip, RSI 68, PE 68; outlook positivo.
[2026-06-11] INTRA 21:42 - $362.52 | 12.65% | Prob: 39% | RSI 68.5, MACD alcista, MA50 +28.1%; soporte en $340, tendencia alcista.
[2026-06-11] INTRA 23:02 - $362.52 | 12.65% | Prob: 37% | Beneficio de demanda de equipamiento de chips, RSI 68 y tendencia alcista.
[2026-06-11] INTRA 23:34 - $362.52 | 12.65% | Prob: 36% | PE 68.4, dividend 0.29%, RSI 68.5, MACD alcista, exposición a equipamiento de fabricación, mantiene tendencia alcista moderada.
[2026-06-12] INTRA 17:55 - $373.15 | 2.93% | Prob: 35% | Crecimiento de demanda en equipamiento de chips, RSI 69.8 y tendencia alcista; valoración alta pero justificada.
[2026-06-12] INTRA 19:25 - $371.32 | 2.43% | Prob: 34% | PE 70, alta rentabilidad, RSI 69, tendencia alcista, buen posicionamiento en litografía.
[2026-06-12] INTRA 21:17 - $366.81 | 1.18% | Prob: 34% | Crecimiento de capex en semis respalda outlook; técnico alcista con RSI alto.
[2026-06-12] INTRA 22:33 - $366.81 | 1.18% | Prob: 33% | Sentimiento neutral, RSI 69, uptrend; exposición a fabless y AI mantiene perspectiva positiva.
[2026-06-12] INTRA 23:25 - $366.81 | 1.18% | Prob: 33% | Sentimiento IA positivo, técnico alcista (RSI 69). Valorización alta, pero demanda de equipamiento de semis sigue fuerte.
[2026-06-15] INTRA 18:24 - $389.17 | 6.1% | Prob: 32% | Sentimiento IA positivo y fuerte impulso técnico; PE 73, pero crecimiento de márgenes esperado.
[2026-06-15] INTRA 19:23 - $388.43 | 5.89% | Prob: 30% | Sentimiento IA positivo, RSI 70 y fuerte cash flow; crecimiento de capacidad de fabs.
[2026-06-15] INTRA 20:51 - $388.92 | 6.03% | Prob: 29% | Sentimiento positivo, demanda de equipos de litografía, técnico uptrend, RSI 69.6.
[2026-06-15] INTRA 22:02 - $388.92 | 6.03% | Prob: 28% | RSI 69.6 y MACD alcista, MA50 34.4% indica impulso; soporte en $350, resistencia en $450.
[2026-06-15] INTRA 23:10 - $388.92 | 6.03% | Prob: 27% | Sentimiento neutral, fuerte PE 73.41 y dividend; RSI 69.6, MACD alcista indica impulso.
[2026-06-15] INTRA 23:56 - $388.92 | 6.03% | Prob: 25% | RSI 69.6, MACD alcista, exposición a equipos de empaquetado; PE 73 alto pero crecimiento de demanda.
[2026-06-16] INTRA 18:26 - $NaN | NaN% | Prob: 24% | Lam Research muestra fuerte demanda de empaquetado; RSI 66.9, MACD alcista, pero datos de precio faltantes generan incertidumbre.
[2026-06-16] INTRA 19:13 - $371.53 | -4.47% | Prob: 27% | Crecimiento de equipamiento para chips, PE 70.05; técnico uptrend, RSI 64.4. Sentimiento neutral.
[2026-06-16] INTRA 20:28 - $369.34 | -5.03% | Prob: 30% | RSI 63.6, MACD alcista, MA50 26.4%; soporte estable, tendencia moderada.
[2026-06-16] INTRA 21:59 - $369.34 | -5.03% | Prob: 31% | P/E 69.7, RSI 63.6, uptrend, apuesta por empaquetado avanzado, IA positiva.
[2026-06-16] INTRA 23:02 - $369.34 | -5.03% | Prob: 33% | RSI 63.6, MACD alcista, MA50 +26.4%, tendencia alcista sostenida; soporte 340, resistencia 410.
[2026-06-16] INTRA 23:34 - $369.34 | -5.03% | Prob: 34% | Sentimiento IA negativo y precisión histórica baja (33%); técnico alcista (RSI 63.6).
[2026-06-17] INTRA 17:01 - $385.48 | 4.37% | Prob: 34% | PE 73, dividend 0.27%, RSI 67, tendencia alcista, exposición a fabricación de chips.
[2026-06-17] INTRA 18:09 - $384.58 | 4.13% | Prob: 34% | Sentimiento positivo y técnico alcista (RSI 66.8). Beneficiado por demanda de equipos de litografía.
[2026-06-17] INTRA 19:42 - $380.59 | 3.05% | Prob: 33% | Crecimiento de demanda de equipos de litografía, PE 72x, RSI 66 y fuerte tendencia alcista.
[2026-06-17] INTRA 21:25 - $374.18 | 1.31% | Prob: 33% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-17] INTRA 22:42 - $374.18 | 1.31% | Prob: 33% | RSI 64.9 y MACD alcista; liderazgo en litografía y demanda de fabs impulsa crecimiento.
[2026-06-17] INTRA 23:43 - $374.18 | 1.31% | Prob: 33% | Fundamentales robustos y exposición a equipamiento de IA; RSI 64.9 y MACD alcista respaldan alza moderada.
[2026-06-18] INTRA 16:48 - $398.33 | 6.45% | Prob: 32% | Uptrend, RSI 68, posición clave en equipamiento de semis; PE 75 pero outlook positivo.
[2026-06-18] INTRA 18:28 - $394.46 | 5.42% | Prob: 32% | RSI 68.2, tendencia alcista, liderazgo en equipos de litografía; valoración alta pero justificada.
[2026-06-18] INTRA 19:50 - $393.03 | 5.04% | Prob: 31% | Crecimiento en equipos de fabricación, RSI 68.1, tendencia alcista, pero alta valoración PE 74.
[2026-06-18] INTRA 21:41 - $389.04 | 3.97% | Prob: 30% | Crecimiento de equipamiento de fabs, beta 1.8, RSI 67, upside técnico moderado.
[2026-06-18] INTRA 23:06 - $389.04 | 3.97% | Prob: 30% | RSI 67.4, MACD alcista, MA50 30.6%; soporte 350, resistencia 400; tendencia alcista moderada.
[2026-06-18] INTRA 23:56 - $389.04 | 3.97% | Prob: 30% | PE 73, alta exposición a equipamiento de chips; técnico uptrend, RSI 67, pero valoración alta reduce margen.
[2026-06-19] INTRA 16:23 - $389.04 | 3.97% | Prob: 29% | Crecimiento de demanda de herramientas de chip, tendencia uptrend y RSI alto.
[2026-06-19] INTRA 17:40 - $389.04 | 3.97% | Prob: 28% | RSI 67.4, MACD alcista y MA50 +31% sostienen uptrend; soporte en 360, resistencia en 420.
[2026-06-19] INTRA 19:14 - $389.04 | 3.97% | Prob: 28% | Beneficio de AI en fabricación, PE 73, RSI 67, tendencia alcista; dividendos modestos.
[2026-06-19] INTRA 22:13 - $389.04 | 3.97% | Prob: 27% | PE 73, beta 1.8, RSI 67, tendencia alcista, AI push, pero precisión histórica baja.
[2026-06-19] INTRA 23:05 - $389.04 | 3.97% | Prob: 27% | Uptrend, RSI 67.4, impulso AI fuerte; alta valoración pero liderazgo en equipos de litografía.
[2026-06-22] INTRA 17:48 - $397.89 | 2.27% | Prob: 26% | Ventajas competitivas en litografía; RSI 69 y MACD alcista, soporte técnico fuerte.
[2026-06-22] INTRA 19:03 - $395.69 | 1.71% | Prob: 26% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-22] INTRA 21:54 - $409.54 | 5.27% | Prob: 26% | P/E 77, RSI 70.7, MACD alcista, pero precisión histórica baja y alta valoración reducen confianza.
[2026-06-22] INTRA 22:43 - $409.54 | 5.27% | Prob: 26% | Alta precisión en sector, RSI 70.7, fuerte posición en litografía; sin embargo, precisión baja reduce confianza.
[2026-06-22] INTRA 23:33 - $409.54 | 5.27% | Prob: 26% | Alta valoración (PE 77), RSI 71, tendencia uptrend, pero precisión histórica baja.
[2026-06-23] INTRA 16:09 - $367.96 | -10.15% | Prob: 27% | PE 69, RSI 57.3 y tendencia alcista, pero precisión histórica baja (22%); exposición a ciclos de capex semiconductor.
[2026-06-23] INTRA 17:37 - $372.09 | -9.14% | Prob: 28% | Sentimiento IA negativo, RSI 58.1, pero exposición a equipos de fabricación de chips; alta valoración limita upside corto.
[2026-06-23] INTRA 19:24 - $369.39 | -9.8% | Prob: 29% | Sentimiento negativo y precisión histórica baja; aunque fundamentals sólidos, riesgo de sobrevaloración.
[2026-06-23] INTRA 21:16 - $371.33 | -9.33% | Prob: 30% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-23] INTRA 22:22 - $371.33 | -9.33% | Prob: 31% | Sentimiento negativo y presión de margen; sin embargo, demanda de equipos de litografía para AI mantiene soporte limitado.
[2026-06-23] INTRA 23:20 - $371.33 | -9.33% | Prob: 32% | Sentimiento negativo, técnico uptrend pero alta valoración (PE 70). Riesgo de sobreciclo en equipamiento de semis.
[2026-06-24] INTRA 15:55 - $368.39 | -0.79% | Prob: 32% | Sentimiento mixto, técnico uptrend (RSI 55.4). PE 69, pero posición en litografía y acuerdos con Qualcomm añaden potencial.
[2026-06-24] INTRA 17:24 - $366.49 | -1.3% | Prob: 33% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 19:07 - $364.07 | -1.96% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 21:06 - $374.8 | 0.93% | Prob: 33% | RSI 56.6, MACD alcista, MA50 +22.8%; tendencia positiva.
[2026-06-24] INTRA 22:18 - $374.8 | 0.93% | Prob: 33% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-24] INTRA 23:17 - $374.8 | 0.93% | Prob: 33% | Tendencia alcista, RSI 57 y fuerte exposición a equipos de semiconductores; valoración alta pero demanda sostenida.
[2026-06-25] INTRA 16:01 - $382.18 | 1.97% | Prob: 32% | Uptrend y MACD alcista; correlación positiva con el sector de memoria.
[2026-06-25] INTRA 17:29 - $395.2 | 5.44% | Prob: 32% | RSI 61.5, expansión cerca de Micron; tendencia alcista y fundamentals sólidos.
[2026-06-25] INTRA 21:17 - $401.82 | 7.21% | Prob: 32% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-25] INTRA 22:35 - $401.82 | 7.21% | Prob: 32% | PE 75.8, beta 1.8, RSI 62.7, uptrend; exposición a expansión de memoria Micron, buen flujo de caja.
[2026-06-25] INTRA 23:25 - $401.82 | 7.21% | Prob: 31% | RSI 62.7, MACD alcista, MA50 +30.5%; soporte $380, resistencia $440.
[2026-06-26] INTRA 15:51 - $378.66 | -5.76% | Prob: 32% | Uptrend técnica; sentimiento neutral sobre el futuro de la IA.
[2026-06-26] INTRA 19:07 - $379.2 | -5.63% | Prob: 33% | PE 71, alta valoración y precisión sector baja; tendencia alcista técnica pero fundamentals modestos.
[2026-06-26] INTRA 21:00 - $379.09 | -5.66% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-26] INTRA 22:10 - $379.09 | -5.66% | Prob: 34% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-26] INTRA 23:13 - $379.09 | -5.66% | Prob: 34% | Similar a AMAT, pero valoración más alta (PE 71.5); técnico uptrend, RSI 65.3.
[2026-06-29] INTRA 16:53 - $411.51 | 8.55% | Prob: 34% | Uptrend y subida de PT por BofA y Citi; boom de inversión en chips.
[2026-06-29] INTRA 17:51 - $410.6 | 8.31% | Prob: 33% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-29] INTRA 19:15 - $410.92 | 8.4% | Prob: 32% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-29] INTRA 21:04 - $410.91 | 8.39% | Prob: 31% | RSI 66.8, MACD alcista, MA50 +31.2%; soporte en $380, resistencia en $430.
[2026-06-29] INTRA 22:15 - $410.91 | 8.39% | Prob: 31% | Beneficia del gasto de equipamiento de chips; RSI 66 y tendencia alcista, pero valoración alta (PE 77) sugiere moderación.
[2026-06-29] INTRA 23:00 - $410.91 | 8.39% | Prob: 30% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 15:50 - $427.27 | 3.98% | Prob: 29% | RSI 68, MACD alcista, MA50 +35%; sobrecompra, resistencia en $460.
[2026-06-30] INTRA 17:27 - $432.18 | 5.18% | Prob: 29% | PE 81.7, beta 1.8, RSI 69.1, fuerte tendencia alcista pero múltiplos altos. Depende de demanda de litografía.
[2026-06-30] INTRA 19:10 - $434.76 | 5.8% | Prob: 28% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 21:11 - $433.33 | 5.46% | Prob: 27% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 22:18 - $433.33 | 5.46% | Prob: 26% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-06-30] INTRA 23:16 - $433.33 | 5.46% | Prob: 26% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 15:52 - $399.91 | -7.71% | Prob: 27% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 17:28 - $NaN | NaN% | Prob: 28% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 19:10 - $383.78 | -11.43% | Prob: 29% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-01] INTRA 21:02 - $391.26 | -9.71% | Prob: 30% | Beneficia de AI demand, pero alta valoración y precisión histórica baja; RSI 61, tendencia alcista.
[2026-07-01] INTRA 22:23 - $391.26 | -9.71% | Prob: 31% | PE 74, alta valoración; IA y 5nm impulsan crecimiento; RSI 61, tendencia alcista.
[2026-07-01] INTRA 23:18 - $391.26 | -9.71% | Prob: 32% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 15:27 - $362.21 | -7.42% | Prob: 33% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 17:05 - $354.11 | -9.49% | Prob: 34% | RSI 48.5, MACD alcista, MA50 +9.9%, soporte $330, resistencia $380.
[2026-07-02] INTRA 18:37 - $348 | -11.06% | Prob: 35% | RSI 47.8, MACD alcista, MA50 +8.5%; soporte en $330, resistencia en $380.
[2026-07-02] INTRA 20:32 - $351.41 | -10.19% | Prob: 35% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-02] INTRA 22:07 - $351.41 | -10.19% | Prob: 36% | PE 66, RSI 48, tendencia alcista; demanda de equipamiento de litografía sigue alta.
[2026-07-02] INTRA 23:07 - $351.41 | -10.19% | Prob: 37% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 15:25 - $351.41 | -10.19% | Prob: 38% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 16:48 - $351.41 | -10.19% | Prob: 39% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 18:22 - $351.41 | -10.19% | Prob: 40% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 20:27 - $351.41 | -10.19% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 22:03 - $351.41 | -10.19% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-03] INTRA 23:06 - $351.41 | -10.19% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 16:35 - $357.99 | 1.87% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 17:57 - $352.54 | 0.32% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 19:05 - $350.76 | -0.18% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 21:03 - $350.2 | -0.34% | Prob: 41% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 22:13 - $350.2 | -0.34% | Prob: 42% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-06] INTRA 23:11 - $350.2 | -0.34% | Prob: 43% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 15:56 - $320.15 | -8.58% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 17:31 - $326.65 | -6.72% | Prob: 45% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 19:12 - $322.05 | -8.04% | Prob: 46% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 21:00 - $326.13 | -6.87% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 22:11 - $326.13 | -6.87% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-07] INTRA 23:04 - $326.13 | -6.87% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 15:44 - $325.22 | -0.28% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 16:52 - $332.95 | 2.09% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 18:29 - $335.7 | 2.93% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 20:33 - $333.15 | 2.15% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 22:04 - $333.15 | 2.15% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-08] INTRA 23:15 - $333.15 | 2.15% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 16:10 - $354.77 | 6.49% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 17:34 - $358.49 | 7.61% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 19:01 - $353.28 | 6.04% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 21:03 - $353.17 | 6.01% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 22:24 - $353.17 | 6.01% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-09] INTRA 23:18 - $353.17 | 6.01% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 15:49 - $349.95 | -0.91% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 17:10 - $350.98 | -0.62% | Prob: 47% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 18:34 - $352.95 | -0.06% | Prob: 48% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 20:48 - $350.33 | -0.8% | Prob: 49% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 21:59 - $350.33 | -0.8% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-10] INTRA 23:05 - $350.33 | -0.8% | Prob: 58% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-13] INTRA 15:57 - $333.42 | -4.83% | Prob: 51% | AI chip boom and earnings beat; technicals uptrend.
[2026-07-13] INTRA 17:34 - $329.65 | -5.9% | Prob: 51% | Beneficio de la demanda de equipos de empaquetado; RSI 36 sugiere riesgo a corto.
[2026-07-13] INTRA 18:57 - $328.59 | -6.21% | Prob: 52% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-13] INTRA 20:47 - $329.92 | -5.83% | Prob: 53% | Exposición a equipos de litografía, RSI 37 bajo, MACD alcista, tendencia ligera bajista.
[2026-07-13] INTRA 21:52 - $329.92 | -5.83% | Prob: 53% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-13] INTRA 23:01 - $329.92 | -5.83% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 15:02 - $342.4 | 3.78% | Prob: 55% | Uptrend, RSI 45, MACD bearish; mixed signals but long-term AI demand remains.
[2026-07-14] INTRA 16:30 - $345.15 | 4.62% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 18:16 - $348.04 | 5.49% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 20:31 - $346.1 | 4.9% | Prob: 55% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 21:55 - $346.1 | 4.9% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
[2026-07-14] INTRA 23:04 - $346.1 | 4.9% | Prob: 54% | Analisis basado en tendencia tecnica (RSI/MACD/SMA).
